,precision,recall,f1-score,support
change object,0.8384531150942309,0.9194210958730962,0.8770724061011635,15823.0
fake relationship and numeric data,0.8634013002364066,0.7331869510664993,0.7929841226760754,15940.0
fusion method,0.9203108905328214,0.9298892988929889,0.9250753012048193,10569.0
reverse reality,0.8489235805111419,0.8919312169312169,0.869896149132426,15120.0
accuracy,0.8624416904546404,0.8624416904546404,0.8624416904546404,0.8624416904546404
macro avg,0.8677722215936502,0.8686071406909504,0.8662569947786212,57452.0
weighted avg,0.8631892833195396,0.8624416904546404,0.8606842969872479,57452.0
