,precision,recall,f1-score,support
change object,0.8768020969855832,0.892,0.88433575677462,1500.0
fake relationship and numeric data,0.8360030511060259,0.7558620689655172,0.793915248098515,1450.0
fusion method,0.902112676056338,0.8895833333333333,0.8958041958041958,1440.0
reverse reality,0.7677318784099766,0.8565217391304348,0.8096999588984792,1150.0
accuracy,0.8483754512635379,0.8483754512635379,0.8483754512635379,0.8483754512635379
macro avg,0.845662425639481,0.8484917853573214,0.8459387898939525,5540.0
weighted avg,0.8500616395802729,0.8483754512635379,0.8481577147285324,5540.0
