,precision,recall,f1-score,support
change object,0.8492352512745812,0.7773333333333333,0.8116950922380787,1500.0
fake relationship and numeric data,0.7115628970775095,0.38620689655172413,0.5006705409029951,1450.0
fusion method,0.4899497487437186,0.9479166666666666,0.6460009465215334,1440.0
reverse reality,0.7811447811447811,0.40347826086956523,0.5321100917431193,1150.0
accuracy,0.6416967509025271,0.6416967509025271,0.6416967509025271,0.6416967509025271
macro avg,0.7079731695601477,0.6287337893553223,0.6226191678514316,5540.0
weighted avg,0.7056792805382155,0.6416967509025271,0.629184637393873,5540.0
