,precision,recall,f1-score,support
change object,0.885201793721973,0.658,0.7548757170172085,1500.0
fake relationship and numeric data,0.6398601398601399,0.2524137931034483,0.3620178041543027,1450.0
fusion method,0.4150492684383398,0.9652777777777778,0.5804969722280225,1440.0
reverse reality,0.8392857142857143,0.36782608695652175,0.5114873035066505,1150.0
accuracy,0.5714801444043321,0.5714801444043321,0.5714801444043321,0.5714801444043321
macro avg,0.6948492290765418,0.5608794144594369,0.552219449226546,5540.0
weighted avg,0.6892507962743579,0.5714801444043321,0.5562031463159842,5540.0
