,precision,recall,f1-score,support
change object,0.8445992497894818,0.6972761170448082,0.763899466869764,15823.0
fake relationship and numeric data,0.6862982588947767,0.2843789209535759,0.4021290751829674,15940.0
fusion method,0.3164774999231029,0.9735074273819662,0.477669452181987,10569.0
reverse reality,0.8642139199696568,0.3013888888888889,0.4469180601186682,15120.0
accuracy,0.529346236858595,0.529346236858595,0.529346236858595,0.529346236858595
macro avg,0.6778972321442546,0.5641378385673098,0.5226540135883466,57452.0
weighted avg,0.7086864398598864,0.529346236858595,0.5274491441864941,57452.0
