,precision,recall,f1-score,support
change object,0.8036697247706422,0.876,0.8382775119617225,1500.0
fake relationship and numeric data,0.8038759689922481,0.7151724137931035,0.756934306569343,1450.0
fusion method,0.8764619883040936,0.8326388888888889,0.853988603988604,1440.0
reverse reality,0.7305533279871692,0.7921739130434783,0.7601168126825198,1150.0
accuracy,0.8052346570397112,0.8052346570397112,0.8052346570397112,0.8052346570397112
macro avg,0.8036402525135382,0.8039963039313677,0.8023293088005473,5540.0
weighted avg,0.8074668470284949,0.8052346570397112,0.8048463784831443,5540.0
